$TABLEGROUP SetTargets
$TABLE RunInN1C2Targ_T
9105.000000  13.500000
9105.000000  15.500000
8965.000000  15.500000
8965.000000  17.500000
8865.000000  17.500000
8865.000000  19.500000
8435.000000  19.500000
8435.000000  21.500000
7920.000000  21.500000
7920.000000  23.500000
5780.000000  23.500000
5780.000000  25.500000
3985.000000  25.500000
3985.000000  27.500000
2045.000000  27.500000
2045.000000  29.500000
9205.000000  29.500000
9205.000000  31.500000
8865.000000  31.500000
8865.000000  33.500000
3052.000000  33.500000
3052.000000  35.500000
$END-TABLE
$TABLE CorrFNTR2Targ_T
1500.00000    0.000000 
1500.00000    1.500000 
21300.000000  1.500000 
21300.000000  3.500000 
19400.000000  3.500000 
19400.000000  5.500000 
23900.000000  5.500000 
23900.000000  7.500000 
22850.000000  7.500000 
22850.000000  9.500000 
22200.000000  9.500000 
22200.000000  11.500000
21300.000000  11.500000
21300.000000  13.500000
20750.000000  13.500000
20750.000000  15.500000
19950.000000  15.500000
19950.000000  17.500000
19400.000000  17.500000
19400.000000  19.500000
17200.000000  19.500000
17200.000000  21.500000
15000.000000  21.500000
15000.000000  23.500000
7700.000000   23.500000
7700.000000   25.500000
4000.000000   25.500000
4000.000000   27.500000
1500.000000   27.500000
1500.000000   29.500000
21300.000000  29.500000
21300.000000  31.500000
19400.000000  31.500000
19400.000000  33.500000
3000.000000   33.500000
3000.000000   35.500000
$END-TABLE
$TABLE CorrTLATarg_T
1.000000   0.000000 
1.000000   1.500000 
40.600000  1.500000 
40.600000  3.500000 
36.100000  3.500000 
36.100000  5.500000 
44.600000  5.500000 
44.600000  7.500000 
42.000000  7.500000 
42.000000  9.500000 
41.000000  9.500000 
41.000000  11.500000
39.800000  11.500000
39.800000  13.500000
39.000000  13.500000
39.000000  15.500000
37.300000  15.500000
37.300000  17.500000
36.100000  17.500000
36.100000  19.500000
32.000000  19.500000
32.000000  21.500000
27.200000  21.500000
27.200000  23.500000
13.400000  23.500000
13.400000  25.500000
5.800000   25.500000
5.800000   27.500000
0.000000   27.500000
0.000000   29.500000
40.600000  29.500000
40.600000  31.500000
36.100000  31.500000
36.100000  33.500000
0.000000   33.500000
0.000000   35.500000
$END-TABLE
$TABLE CorrEventDur_T
900.000000   0.000000 
900.000000   1.500000 
50.000000    1.500000 
50.000000    2.500000 
300.000000   2.500000 
300.000000   3.500000 
20.000000    3.500000 
20.000000    4.500000 
300.000000   4.500000 
300.000000   5.500000 
30.000000    5.500000 
30.000000    6.500000 
420.000000   6.500000 
420.000000   7.500000 
20.000000    7.500000 
20.000000    8.500000 
180.000000   8.500000 
180.000000   9.500000 
20.000000    9.500000 
20.000000    10.500000
180.000000   10.500000
180.000000   11.500000
20.000000    11.500000
20.000000    12.500000
180.000000   12.500000
180.000000   13.500000
20.000000    13.500000
20.000000    14.500000
180.000000   14.500000
180.000000   15.500000
20.000000    15.500000
20.000000    16.500000
180.000000   16.500000
180.000000   17.500000
20.000000    17.500000
20.000000    18.500000
180.000000   18.500000
180.000000   19.500000
20.000000    19.500000
20.000000    20.500000
180.000000   20.500000
180.000000   21.500000
20.000000    21.500000
20.000000    22.500000
180.000000   22.500000
180.000000   23.500000
30.000000    23.500000
30.000000    24.500000
180.000000   24.500000
180.000000   25.500000
30.000000    25.500000
30.000000    26.500000
180.000000   26.500000
180.000000   27.500000
30.000000    27.500000
30.000000    28.500000
180.000000   28.500000
180.000000   29.500000
50.000000    29.500000
50.000000    30.500000
300.000000   30.500000
300.000000   31.500000
20.000000    31.500000
20.000000    32.500000
300.000000   32.500000
300.000000   33.500000
50.000000    33.500000
50.000000    34.500000
1200.000000  34.500000
1200.000000  35.500000
$END-TABLE
$TABLE VibSvyN1C2Targ_T
2045.000000  0.000000
2045.000000  1.500000
9625.000000  1.500000
9625.000000  2.500000
2045.000000  2.500000
2045.000000  6.500000
$END-TABLE
$TABLE VibSvyTLATarg_T
0.000000   0.000000
0.000000   1.500000
46.000000  1.500000
46.000000  3.500000
0.000000   3.500000
0.000000   6.500000
$END-TABLE
$TABLE VibSvyEventDur1_T
5.000000    0.000000
5.000000    1.500000
80.000000   1.500000
80.000000   2.500000
30.000000   2.500000
30.000000   3.500000
80.000000   3.500000
80.000000   4.500000
180.000000  4.500000
180.000000  5.500000
$END-TABLE
$TABLE VibSvyEventDur2_T
5.000000    0.000000
5.000000    1.500000
90.000000   1.500000
90.000000   2.500000
30.000000   2.500000
30.000000   3.500000
90.000000   3.500000
90.000000   4.500000
180.000000  4.500000
180.000000  5.500000
$END-TABLE
$END-TABLEGROUP
