$TABLEGROUP ThrustBands
$TABLE FNAMX_T
23900.000000  -20.000000
23900.000000  86.000000 
23600.000000  95.000000 
20400.000000  120.00000 
$END-TABLE
$TABLE FNAMN_T
23400.000000  -20.000000
23400.000000  86.000000 
23100.000000  95.000000 
19900.000000  120.000000
$END-TABLE
$TABLE FNBMX_T
21300.000000  -20.000000
21300.000000  113.000000
20400.000000  120.000000
$END-TABLE
$TABLE FNBMN_T
20800.000000  -20.000000
20800.000000  113.000000
19900.000000  120.000000
$END-TABLE
$END-TABLEGROUP
