0.004	-0.000
-0.000	0.002
-0.003	-0.015
0.003	-0.012
-0.004	-0.019
0.002	-0.009
0.004	-0.008
-0.003	-0.016
0.007	0.011
0.002	0.024
-0.005	0.004
-0.003	-0.003
0.000	-0.024
0.030	0.014
-0.010	0.005
-0.003	-0.001
0.001	-0.001
-0.017	-0.007
-0.003	-0.001
-0.007	-0.007
0.012	0.000
-0.007	0.006
-0.005	-0.016
-0.011	-0.015
-0.012	0.004
-0.011	-0.004
-0.022	0.013
-0.004	-0.006
0.003	0.014
-0.010	-0.005
-0.013	0.016
-0.003	0.025
-0.010	-0.004
-0.003	0.006
-0.025	-0.001
0.004	0.000
0.012	0.015
0.030	0.014
0.005	-0.009
-0.004	0.007
0.006	-0.022
-0.034	-0.008
0.000	-0.003
-0.005	0.013
-0.007	-0.010
0.008	0.026
0.012	0.003
0.002	0.004
-0.004	0.003
-0.003	-0.022
-0.013	-0.012
-0.009	-0.010
0.005	-0.017
0.004	0.002
0.002	0.009
0.010	0.010
-0.004	-0.019
0.006	0.004
0.013	-0.005
-0.010	-0.000
-0.007	-0.018
-0.008	-0.017
-0.020	-0.011
0.007	0.021
0.008	-0.009
0.014	0.007
0.011	-0.002
0.007	-0.018
0.014	-0.008
0.017	-0.024
0.022	-0.008
0.022	-0.007
0.000	0.001
-0.011	0.020
0.002	0.018
0.026	0.017
0.028	0.007
0.023	0.010
0.032	-0.001
0.019	-0.001
-0.002	-0.008
-0.007	-0.015
-0.023	-0.014
-0.020	-0.007
-0.007	0.011
-0.008	0.014
-0.009	0.005
0.007	0.014
-0.005	0.014
0.025	-0.007
0.002	-0.010
-0.012	-0.018
-0.003	-0.008
-0.004	-0.029
-0.016	-0.005
-0.021	0.007
-0.020	0.010
-0.004	0.025
0.004	0.008
-0.001	0.023
0.022	0.027
0.015	-0.023
0.016	0.010
0.007	-0.027
-0.012	-0.024
0.008	-0.017
-0.004	-0.019
-0.015	-0.019
-0.016	-0.006
-0.005	0.014
-0.019	0.041
-0.011	0.009
0.008	0.017
0.028	0.022
0.019	-0.009
0.017	-0.012
0.023	-0.009
0.013	-0.023
0.005	-0.009
-0.005	-0.032
-0.034	-0.015
-0.015	-0.005
-0.055	-0.016
-0.017	0.031
-0.011	0.040
-0.016	0.035
0.018	0.029
0.016	0.031
0.035	0.039
0.038	0.019
0.029	-0.023
0.022	-0.025
0.008	-0.022
-0.003	-0.039
-0.015	-0.021
-0.010	-0.035
-0.037	-0.024
-0.049	-0.017
-0.034	0.005
-0.022	0.022
-0.024	0.029
-0.020	0.048
-0.028	0.029
0.024	0.041
0.012	0.023
0.028	0.048
0.017	0.002
0.055	-0.003
0.028	-0.031
0.030	-0.050
